"ESEX","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs","state"
1,0.000332983302842408,0.000330446746459545,0.0734750381601706,131.273763554769,2.18115498616508e-30,1,469724.517889361,-939443.035778722,-939410.382653159,2127.60245810777,394104,394106,NA
2,0.000123460042886908,0.000120780558108269,0.0781321343061583,46.0760381533249,1.13920092993778e-11,1,421829.042678704,-843652.085357408,-843619.596053646,2278.00388425666,373160,373162,NA
