"ESEX","term","estimate","std.error","statistic","p.value","state"
1,"(Intercept)",0.427325640509403,0.000898721760121507,475.481577804045,0,NA
1,"EJB1_UNION",0.0712995339445696,0.00235538171769836,30.2709040359888,5.87063669057078e-201,NA
2,"(Intercept)",0.393976306112082,0.00088962039945412,442.858893921306,0,NA
2,"EJB1_UNION",0.0702700683637054,0.00246384834524676,28.5204519585265,1.18815331523038e-178,NA
