"ESEX","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs","state"
1,0.000128313317414973,0.00012577624170218,0.0868114860183889,50.5752811286114,1.14873895346138e-12,1,403990.313603073,-807974.627206146,-807941.974080583,2970.06000560694,394104,394106,NA
2,0.000309580121235411,0.000306901135224247,0.0877568970502707,115.558692714306,5.99182096250177e-27,1,378479.173197242,-756952.346394483,-756919.857090721,2873.80702517643,373160,373162,NA
