"Ast_var","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs"
"TVAL_BANK_log",0.0031714163273491,0.0031649203071964,3.25817855293901,488.209126943991,0,5,-1994973.17966315,3989960.35932629,3990041.2134572,8145033.68420498,767261,767267
"TVAL_STMF_log",0.000140399649605028,0.000133883877264429,3.55874985631559,21.5476603950899,1.23562857828434e-21,5,-2062677.59168621,4125369.18337242,4125450.03750333,9717130.80088763,767261,767267
"TVAL_BOND_log",0.000224437631607839,0.000217922406916538,1.69058547969687,34.4481798009002,2.44896568442422e-35,5,-1491574.35992972,2983162.71985943,2983243.57399034,2192892.75430013,767261,767267
"TVAL_RENT_log",0.000181346716087328,0.000174831210586035,2.45408972844395,27.8330999876571,2.70809605645084e-28,5,-1777520.19517253,3555054.39034506,3555135.24447597,4620872.64237906,767261,767267
"TVAL_RE_log",0.000294404870376088,0.000287890101639432,2.46755431937901,45.1903793176908,8.01306477538675e-47,5,-1781718.37040294,3563450.74080588,3563531.59493679,4671717.43588625,767261,767267
"TVAL_OTH_log",0.00131493411285557,0.0013084259945888,3.15093564288675,202.045208609876,5.10943675514473e-216,5,-1969293.61641004,3938601.23282007,3938682.08695098,7617670.60265212,767261,767267
"TVAL_RET_log",0.004174189069004,0.00416769958360774,5.41802049917005,643.223432073705,0,5,-2385176.18394749,4770366.36789497,4770447.22202588,22522905.3222102,767261,767267
"TVAL_BUS_log",9.69250102688493e-05,9.0408954617649e-05,1.31730191574745,14.8747978007071,1.25881779731943e-14,5,-1300149.47998062,2600312.95996124,2600393.81409214,1331415.99586889,767261,767267
"TVAL_HOME_log",0.00692186708489664,0.00691539550525866,5.91574809118807,1069.57921746504,0,5,-2452609.31316702,4905232.62633404,4905313.48046495,26851123.8676291,767261,767267
"TVAL_VEH_log",0.00244021184062513,0.00243371105544143,4.31550105766377,375.371862272931,0,5,-2210609.82929628,4421233.65859256,4421314.51272346,14289123.1198486,767261,767267
"TVAL_ESAV_log",5.00456936427361e-05,4.35293324937414e-05,1.66039510717404,7.68000614123839,3.1369064982267e-07,5,-1477748.73323707,2955511.46647413,2955592.32060504,2115270.9904574,767261,767267
