"TEHC_ST","term","estimate","std.error","statistic","p.value","state"
1,"(Intercept)",0.410723219337909,0.00437442363326602,93.8919624095154,0,"AL"
1,"EJB1_UNION",0.113995315788313,0.011016678950228,10.3475209092803,5.55005543967947e-25,"AL"
2,"(Intercept)",0.330506896465157,0.0141582158467442,23.34382382941,4.42714378624901e-97,"AK"
2,"EJB1_UNION",0.382395082308547,0.0408448715928206,9.36213207182076,4.75500305051818e-20,"AK"
4,"(Intercept)",0.344917570742166,0.00434222873350599,79.4333030134213,0,"AZ"
4,"EJB1_UNION",0.109947244649957,0.0151818228735157,7.24203184070587,4.72450302238645e-13,"AZ"
5,"(Intercept)",0.425994018952362,0.00563685724752938,75.5729656164476,0,"AR"
5,"EJB1_UNION",0.0257079114539775,0.0231841591690474,1.10885675285992,0.267537426196172,"AR"
6,"(Intercept)",0.373774776883797,0.00200871799217143,186.076282654165,0,"CA"
6,"EJB1_UNION",0.0792698961810737,0.00420682772319254,18.8431524647547,5.4021268176347e-79,"CA"
8,"(Intercept)",0.436488750608513,0.00447411641711607,97.55864843809,0,"CO"
8,"EJB1_UNION",0.107293383564276,0.014109007766711,7.60460163736149,3.08505209132397e-14,"CO"
9,"(Intercept)",0.425337325166599,0.00588704456208257,72.2497206673315,0,"CT"
9,"EJB1_UNION",0.121670775310467,0.0127633402222757,9.53283178161437,2.04670266210538e-21,"CT"
10,"(Intercept)",0.41353280772988,0.0128876373712087,32.0875576972487,1.51195542943045e-169,"DE"
10,"EJB1_UNION",0.0257902393539407,0.0400836830751727,0.643409920829227,0.520064203258231,"DE"
11,"(Intercept)",0.360924849741653,0.0164980074957191,21.8768751217567,3.06214470938001e-86,"DC"
11,"EJB1_UNION",-0.106671412964736,0.0345557325344273,-3.08693826294845,0.002080948030681,"DC"
12,"(Intercept)",0.405538092266089,0.0026918767897306,150.652546139259,0,"FL"
12,"EJB1_UNION",0.0307907383641534,0.00964913168143885,3.1910372229019,0.00141915365008311,"FL"
13,"(Intercept)",0.384322484749853,0.00333837225304854,115.122717186167,0,"GA"
13,"EJB1_UNION",0.0278639691422076,0.0139712033513191,1.99438576918121,0.0461254037058051,"GA"
15,"(Intercept)",0.429904366393158,0.0126039141809631,34.1087982844635,8.70337539601699e-203,"HI"
15,"EJB1_UNION",0.141959884232926,0.0222473031841804,6.38099292564461,2.16403485602125e-10,"HI"
16,"(Intercept)",0.427761032506674,0.00715439392597267,59.7899747948975,0,"ID"
16,"EJB1_UNION",0.290915347364813,0.0239437771233823,12.1499354870255,2.19524285819552e-33,"ID"
17,"(Intercept)",0.416337477455345,0.00345693677590731,120.435375143959,0,"IL"
17,"EJB1_UNION",0.0942541006321458,0.00807623402753304,11.6705509412952,2.29377054538261e-31,"IL"
18,"(Intercept)",0.467197365098135,0.0040418964181016,115.588653634417,0,"IN"
18,"EJB1_UNION",0.0679650199228777,0.0131644933099177,5.16275243739728,2.47064062246874e-07,"IN"
19,"(Intercept)",0.422031972154143,0.0050664592621979,83.2991938379979,0,"IA"
19,"EJB1_UNION",0.109960018375392,0.0160887804036624,6.83457761350025,8.85483074822562e-12,"IA"
20,"(Intercept)",0.383082747577077,0.00607705968743131,63.0375160489828,0,"KS"
20,"EJB1_UNION",0.107253274816163,0.0204041793398633,5.25643658731345,1.52609640883712e-07,"KS"
21,"(Intercept)",0.468868619663773,0.00512574116768016,91.4733312365002,0,"KY"
21,"EJB1_UNION",0.113982298303423,0.0167329157693949,6.81186111699077,1.03336521886241e-11,"KY"
22,"(Intercept)",0.3975581940367,0.00497803911729763,79.86240860488,0,"LA"
22,"EJB1_UNION",0.0643196490032801,0.01538939643113,4.17947833699137,2.95213998053614e-05,"LA"
23,"(Intercept)",0.41763513324223,0.00872002746634592,47.8937864420785,0,"ME"
