"Ast_var","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs"
"TVAL_BANK_proportion",0.00362571031354086,0.00361921725388004,0.335760452216508,558.39781288477,0,5,-251339.259984185,502692.51996837,502773.374099275,86497.2311923224,767261,767267
"TVAL_STMF_proportion",9.38510247596242e-05,8.7334949076312e-05,0.101534615985906,14.4029979577368,3.9060215730999e-14,5,666310.676612882,-1332607.35322576,-1332526.49909486,7909.90713431353,767261,767267
"TVAL_BOND_proportion",6.5027918971281e-05,5.85116554566723e-05,0.0387578813760821,9.97932616237788,1.4560044923888e-09,5,1405239.17564806,-2810464.35129612,-2810383.49716522,1152.55904109005,767261,767267
"TVAL_RENT_proportion",0.000205505069387658,0.000198989721318821,0.087266029086681,31.5416869852612,3.07094342285204e-32,5,782504.460038497,-1564994.92007699,-1564914.06594609,5842.96860048786,767261,767267
"TVAL_RE_proportion",0.000252529068134836,0.000246014026506702,0.0757683516707627,38.7609293306043,6.07543929803998e-40,5,890904.384773341,-1781794.76954668,-1781713.91541578,4404.72502918464,767261,767267
"TVAL_OTH_proportion",0.000467153970658107,0.000460640327673345,0.105349227857533,71.7193084959587,2.57036685885437e-75,5,638013.082144636,-1276012.16428927,-1275931.31015837,8515.41537241729,767261,767267
"TVAL_RET_proportion",0.00136570715399095,0.00135919936659634,0.277720042291635,209.857371048608,1.8298959184791e-224,5,-105723.951443265,211461.902886529,211542.757017434,59177.6301081021,767261,767267
"TVAL_BUS_proportion",1.82221478777331e-05,1.17055793446008e-05,0.0496166535948491,2.79627963478448,0.0157286503253634,5,1215730.0503054,-2431446.1006108,-2431365.2464799,1888.85257781455,767261,767267
"TVAL_HOME_proportion",0.00608738284116762,0.00608090582345677,0.356478558477101,939.843476270252,0,5,-297280.236819666,594574.473639332,594655.327770237,97501.1974428029,767261,767267
"TVAL_VEH_proportion",0.00223203698976967,0.00222553484797561,0.288884011923952,343.277193956188,0,5,-135963.248698774,271940.497397548,272021.351528453,64030.9782756104,767261,767267
"TVAL_ESAV_proportion",4.42000733500516e-05,3.76836741069475e-05,0.0369513336832905,6.78289830032919,2.47695028838968e-06,5,1441862.65907219,-2883711.31814437,-2883630.46401347,1047.61898344388,767261,767267
