"Ast_var","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs"
"TVAL_BANK_log",0.00459438817284234,0.00454119435084099,3.25592858427153,86.3707099808298,0,41,-1994425.15196302,3988936.30392604,3989432.9793016,8133406.65645002,767225,767267
"TVAL_STMF_log",0.000255161857954466,0.000201736150549414,3.5586291034618,4.77601271650068,4.63103382818615e-22,41,-2062633.55634816,4125353.11269632,4125849.78807188,9716015.48488268,767225,767267
"TVAL_BOND_log",0.000240184594606618,0.000186758086826444,1.69061182820426,4.49560722918675,4.52708001573374e-20,41,-1491568.31746219,2983222.63492439,2983719.31029995,2192858.21513997,767225,767267
"TVAL_RENT_log",0.000231993714924311,0.000178566769428956,2.45408514394619,4.34226049745628,5.38144707288592e-19,41,-1777500.76127267,3555087.52254533,3555584.19792089,4620638.56662266,767225,767267
"TVAL_RE_log",0.000310381343561378,0.000256958587049438,2.46759249267348,5.80990880715222,1.27120723785793e-29,41,-1781712.23943981,3563510.47887963,3564007.15425519,4671642.77635189,767225,767267
"TVAL_OTH_log",0.00137371901075414,0.00132035307830858,3.15091682746794,25.7414973898381,2.18048228564775e-194,41,-1969271.0341942,3938628.0683884,3939124.74376395,7617222.20901909,767225,767267
"TVAL_RET_log",0.00500169525014786,0.00494852319436923,5.41589597080695,94.0662379309388,0,41,-2384857.26163946,4769800.52327893,4770297.19865449,22504189.354847,767225,767267
"TVAL_BUS_log",0.000213038575459222,0.000159610617013639,1.31725633109995,3.98739876381832,1.50752883101709e-16,41,-1300104.92802453,2600295.85604905,2600792.53142461,1331261.38543257,767225,767267
"TVAL_HOME_log",0.00754434835866717,0.00749131218060028,5.914032491101,142.249095497908,0,41,-2452368.76860459,4904823.53720918,4905320.21258474,26834293.0451161,767225,767267
"TVAL_VEH_log",0.00255185360604877,0.00249855063234206,4.3153608064275,47.8745073415332,0,41,-2210566.89260355,4421219.7852071,4421716.46058265,14287523.9546122,767225,767267
"TVAL_ESAV_log",0.000143822182509409,9.03905251852244e-05,1.66035620097922,2.6917035651151,2.82799865293292e-08,41,-1477712.75394774,2955511.50789548,2956008.18327104,2115072.61784849,767225,767267
