"ESEX","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs","state"
1,5.65629468889644e-05,5.40256891167212e-05,0.036143748055691,22.2929445753684,2.3414533699977e-06,1,749319.765273603,-1498633.53054721,-1498600.87742164,514.845848798672,394104,394106,NA
2,1.33487782945577e-05,1.06689984380459e-05,0.0378209058441827,4.98129660262112,0.025623363872837,1,692572.779471999,-1385139.558944,-1385107.06964024,533.77587008722,373160,373162,NA
