TEHC_ST,201701,201702,201703,201704,201705,201706,201707,201708,201709,201710,201711,201712,201801,201802,201803,201804,201805,201806,201807,201808,201809,201810,201811,201812,201901,201902,201903,201904,201905,201906,201907,201908,201909,201910,201911,201912,202001,202002,202003,202004,202005,202006,202007,202008,202009,202010,202011,202012,202101,202102,202103,202104,202105,202106,202107,202108,202109,202110,202111,202112,202201,202202,202203,202204,202205,202206,202207,202208,202209,202210,202211,202212
AL,454452.8723,460924.7904,467939.0727,473700.8605,477944.7444,481633.5715,483487.4647,485114.1907,486817.7537,490363.2351,494262.2138,498792.4868,503884.6488,509499.9275,514637.8002,518879.6197,522781.5737,525969.3165,528900.8847,532039.3669,535623.9606,539445.7652,542210.1456,543854.8697,543657.7823,542422.0054,541059.2508,540384.9679,540038.5513,539871.0406,540469.6069,542365.5379,545188.9465,548483.3731,552051.3887,555717.3663,558632.2082,560942.3283,563127.7169,565204.2483,565537.35,564433.5945,564421.5676,567994.6799,575734.5053,585667.4596,597089.7752,608395.5885,617729.7241,625662.5042,632794.2267,641964.1107,652847.6022,664430.6293,675355.166,683359.1086,689280.5219,694448.5261,700863.1411,708502.0124,718649.1993,731348.729,746575.2297,760585.055,771317.3396,777157.7403,777558.2812,772891.7185,765384.4585,758729.882,753563.937,748365.861
AK,181226.674,182196.3673,183215.9077,184365.5441,185407.8824,186360.21,187109.9405,187907.7083,188718.4972,189677.0302,190711.3273,191845.6215,192956.6433,193962.3648,195120.1014,196189.7973,197306.1341,198166.8074,199169.7738,200084.7134,200986.3783,201686.0207,202477.3851,203357.6817,204243.0738,205038.4862,205743.1421,206333.7562,206855.4933,207352.4071,207884.3503,208529.3092,209224.7269,210127.5387,211181.0013,212326.1877,213522.4042,214702.0082,215876.0532,216715.0107,217036.9366,217231.4016,217915.3403,219341.2217,221468.7023,223849.102,226573.2407,229231.2256,232072.2211,235127.5977,238588.0969,242398.538,246754.2034,251416.6312,255882.5102,259476.3645,262268.3308,264997.8497,268344.7953,272121.7523,276956.7039,282258.7274,288214.3943,294042.9355,299451.4342,304191.8447,307052.6246,307924.1334,307210.3821,306242.3193,305251.8901,303711.2608
AZ,204362.9826,205593.586,207018.0551,208539.8766,209889.6618,211305.777,212664.5782,214178.2142,215621.9151,217152.0374,218706.8037,220337.9598,221885.8096,223342.7507,224868.8731,226328.2306,227783.2226,228988.1823,230501.6376,231974.4063,233467.6046,234709.1417,236029.4342,237450.7034,238695.7499,239771.5318,240456.2322,240956.0491,241230.283,241655.185,242212.909,242969.3886,243727.5637,244737.6044,246118.388,247814.4846,249859.1959,251780.6754,253472.0789,254515.3071,254855.746,255053.9225,255692.3775,257325.6251,259928.8073,262996.3331,266590.045,270160.3188,273879.0158,277606.7883,281578.9941,285982.2447,291268.568,297717.9253,304465.7456,310650.414,315845.9742,320866.3903,326337.8251,332156.6329,339298.8411,347491.4602,356991.398,366601.7695,375525.6802,383276.5417,388570.8727,391223.6975,391513.871,391037.2093,390381.3507,388956.6877
AR,260787.828,262505.3236,264119.5435,266268.8988,268029.6262,269561.8829,270700.0059,272050.8115,273445.9145,275947.5408,278786.907,282225.9925,284965.6473,286958.3962,288953.1088,291034.8387,293837.5656,296353.346,299063.2321,301679.3923,304403.6196,306222.3036,307418.7305,308035.3723,309425.9444,311560.0233,314015.6184,316096.87,317456.4165,319266.6979,321273.0667,323640.2413,325204.1499,326443.729,328192.4445,330237.7688,332749.7078,334666.1443,336350.7468,337803.6971,339106.9016,339906.7395,340282.0017,340887.3015,343110.5357,346475.1329,350773.3604,355463.2171,360011.0115,364858.3225,369492.7622,373828.5589,378213.9821,382383.0424,386628.1312,389959.4169,392462.8664,394965.5899,397748.986,400640.4287,403882.2451,407787.1711,413021.3683,418505.9199,423605.2435,428449.2486,431791.5042,432961.0061,431774.6974,430287.6974,429064.2775,427120.8453
CA,161429.9717,161975.641,162424.0053,162963.0256,163539.3957,164129.6682,164738.3699,165392.4013,166106.1056,166944.8802,167911.8861,168874.2881,169754.4804,170543.5606,171621.217,172648.0383,173487.7753,173957.9501,174432.5482,174958.7644,175463.5291,175797.3375,176158.4568,176606.5005,177331.0049,178364.049,179422.9322,180277.0345,180850.4946,181488.7301,182222.4561,183008.7476,183735.0223,184623.5825,185725.6561,186922.1248,188126.035,189422.3264,190821.4816,192325.1932,193279.925,193798.3772,194323.387,195555.3402,197849.0639,200639.3831,203938.3708,207062.2401,209958.6528,212776.7096,215677.7751,218639.107,221619.3726,224753.6297,227084.558,228096.9407,227537.3907,227104.9611,227361.447,228469.3073,231000.7939,234642.5901,239152.8153,243231.9668,246396.4194,248874.1339,249888.2213,249812.4003,248993.024,248844.3405,249186.1495,249490.1155
CO,165548.0633,166581.5042,167691.7498,168609.1675,169300.403,169568.9902,169820.7114,170114.7408,170785.7109,171672.5044,172755.067,173843.7392,175002.3368,176025.9895,177262.2189,178215.8277,178983.925,179038.1611,179159.0722,179131.9922,179307.1346,179333.0845,179555.271,180031.7906,180951.7859,182234.3011,183395.0586,184250.7284,184631.0361,184845.1757,184784.0345,184753.3407,184578.9158,184713.6128,185094.7004,185833.3929,186959.1092,188330.9944,189742.5013,190799.6454,191103.9875,190978.8449,190848.6582,191467.5351,193119.2768,195290.8784,197845.1382,200255.8389,202677.5653,205296.5086,207938.1854,210404.6565,212700.4491,215180.3377,217779.8256,219823.0038,221022.2058,221961.4783,223269.8111,225209.7567,227978.0444,231478.2834,235559.075,239432.5373,242066.5217,243833.506,244190.0848,243747.4342,242546.602,241767.5402,241387.9022,240981.94
CT,128505.6971,129042.8626,129582.4047,130193.6273,130814.432,131440.3229,132084.3724,132764.6553,133381.5365,134032.9279,134778.8355,135552.5335,136208.3874,136773.7442,137576.4919,138433.8913,139334.771,139952.7485,140652.4053,141327.0671,142119.4858,142757.9589,143515.2152,144275.0022,145198.9102,146260.2225,147354.3202,148208.6326,148767.5501,149297.8725,149868.7433,150403.7357,150852.9631,151447.842,152297.4359,153228.9428,154331.099,155481.337,156737.6539,157865.948,158627.038,159184.2514,159900.0942,161273.8746,163426.1166,166059.8987,168953.71,171660.5812,174074.4304,176381.0708,178767.5797,181292.9208,183912.3421,186585.2805,188482.765,189166.4185,188796.4223,188601.0996,189056.5782,189967.7333,192166.3694,195387.7245,199328.2368,202983.8715,205962.398,208673.4482,210231.6474,210864.3231,210603.5712,210458.6893,210489.0114,210572.1998
DE,163133.4876,164228.2536,165337.9256,166481.0636,167459.288,168367.6888,169338.6263,170379.8957,171498.6878,172688.7688,174075.8414,175658.1803,177228.5223,178720.5719,180217.4513,181543.7612,182816.1211,183805.8422,185070.5289,186369.2556,187898.1581,189197.4994,190578.1201,191987.3553,193463.7969,194811.3281,195994.8128,196994.8035,197835.0332,198586.4349,199363.5382,200264.454,201105.7784,202131.1183,203361.1442,204856.8732,206542.0972,208240.3288,209867.0023,211121.5372,211758.9622,212183.7395,212961.405,214661.4086,217350.1533,220659.3917,224389.6734,228118.163,231896.7231,235864.2692,240042.5992,244377.4811,249025.5779,254037.7428,258662.4515,262396.82,265400.8573,268807.1631,273023.8249,277801.6298,283939.1625,290824.4433,298083.8522,304672.9254,310284.9356,315160.5947,318093.2123,319273.7374,318922.8713,318274.1298,317434.6463,316205.882
DC,172333.7295,173074.3433,173744.7339,174615.2457,175491.1514,176426.5686,177311.6488,178273.136,179226.0873,180254.7255,181431.6683,182675.4378,183895.5884,185030.776,186277.8943,187384.357,188427.9859,189279.0762,190288.7172,191314.8088,192394.625,193314.9623,194336.855,195416.5361,196625.2169,197782.555,198977.8695,200043.1434,200954.9085,201719.8604,202490.7663,203349.0386,204166.8125,205234.0985,206571.4465,208047.9898,209525.477,211033.4914,212723.2793,214263.8788,215272.1625,216001.8633,217054.9261,219004.1382,221917.6437,225373.7257,229113.9247,232851.7353,236495.763,240308.4412,244220.5963,248397.2891,253025.7549,258211.2926,263035.4935,266613.7243,268987.8399,271216.0696,274098.4821,277338.5697,282275.0464,288463.8213,295972.3761,303433.1892,310218.3821,316157.8634,319873.1832,321445.1432,321199.3243,320713.2878,320128.5047,319144.7204
