"ESEX","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs","state"
1,6.7072914937294e-05,6.45356838331335e-05,0.0575259888459481,26.4354771729591,2.72619299047351e-07,1,566165.766015849,-1132325.5320317,-1132292.87890613,1304.18448162227,394104,394106,NA
2,1.33356970541947e-05,1.06559171626497e-05,0.0395617007932488,4.97641507670717,0.0256957674909172,1,675780.681956695,-1351555.36391339,-1351522.87460963,584.043227788289,373160,373162,NA
