"ESEX","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs","state"
1,0.00357168277954101,0.00356915444103845,0.330837234325721,1412.66004369966,1.32016954486164e-308,1,-123279.206999877,246564.413999754,246597.067125317,43135.9737334833,394104,394106,NA
2,0.00360605528870772,0.00360338513664227,0.340782495284021,1350.5055893571,4.05492148817738e-295,1,-127779.999509402,255565.999018804,255598.488322567,43336.081724772,373160,373162,NA
