"ESEX","term","estimate","std.error","statistic","p.value","state"
1,"(Intercept)",0.208940427585981,0.00056514084388147,369.713903795995,0,NA
1,"EJB1_UNION",-0.0588138173104313,0.00156480612515899,-37.5853700754498,1.32016953902915e-308,NA
2,"(Intercept)",0.221100213395485,0.000594110803155987,372.153161028169,0,NA
2,"EJB1_UNION",-0.0634787705771624,0.00172734987941823,-36.7492256974262,4.05492148156296e-295,NA
