"Ast_var","term","estimate","std.error","statistic","p.value"
"TVAL_BANK_log","(Intercept)",7.11925117639446,0.00315386341677887,2257.31118808739,0
"TVAL_BANK_log","EJB1_UNION",0.458698612155893,0.00897407276578496,51.1137611792889,0
"TVAL_STMF_log","(Intercept)",1.59501920094481,0.00362598660157887,439.885574935739,0
"TVAL_STMF_log","EJB1_UNION",-0.117196085162049,0.0103174625246023,-11.359002747293,6.7139239025449e-30
"TVAL_BOND_log","(Intercept)",0.353703330828911,0.00165080044228905,214.261713147143,0
"TVAL_BOND_log","EJB1_UNION",0.0490658429187771,0.00469722411315525,10.4457104316912,1.53689591279448e-25
"TVAL_RENT_log","(Intercept)",0.516583453125658,0.00240535302862445,214.764089502935,0
"TVAL_RENT_log","EJB1_UNION",0.0702440063201095,0.00684424474168361,10.263222454963,1.03446618877496e-24
"TVAL_RE_log","(Intercept)",0.56238445198507,0.00240981380010209,233.372575076649,0
"TVAL_RE_log","EJB1_UNION",0.136706417983341,0.00685693751956959,19.9369496357787,2.01094703574092e-88
"TVAL_OTH_log","(Intercept)",1.08873099277873,0.00307620499520856,353.920169323735,0
"TVAL_OTH_log","EJB1_UNION",0.336513732430461,0.00875310177435258,38.445083937728,3.95252516672997e-323
"TVAL_RET_log","(Intercept)",5.58330319240108,0.0053024049752997,1052.97562491169,0
"TVAL_RET_log","EJB1_UNION",0.957359096651308,0.0150875804668164,63.4534542338926,0
"TVAL_BUS_log","(Intercept)",0.179435917794577,0.00131925911363897,136.0126422016,0
"TVAL_BUS_log","EJB1_UNION",0.012780304584269,0.00375384907911222,3.40458668287524,0.000662664252804817
"TVAL_HOME_log","(Intercept)",5.77096320526376,0.0058041897802011,994.27541548509,0
"TVAL_HOME_log","EJB1_UNION",1.44910515509717,0.016515370055926,87.742820789971,0
"TVAL_VEH_log","(Intercept)",6.12082729176869,0.00426027769928823,1436.72026187197,0
"TVAL_VEH_log","EJB1_UNION",0.686982482089061,0.0121222884518287,56.6710225399253,0
"TVAL_ESAV_log","(Intercept)",0.30533464718534,0.00166582888025907,183.292924503659,0
"TVAL_ESAV_log","EJB1_UNION",0.0154182376710218,0.0047399863631568,3.25280211581734,0.00114276192075393
