"Debt_var","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs"
"TDEBT_HOME",0.00262074857857467,0.00261992016365808,87850.6221527636,3163.57000099266,0,1,-15413532.6911021,30827071.3822042,30827107.3855917,9291848110862992,1203961,1203963
"TDEBT_VEH",0.00139053655503275,0.00138970711831232,9856.90175163211,1676.48299221836,0,1,-12779904.5617381,25559815.1234762,25559851.1268637,116975059436186,1203961,1203963
"TDEBT_RENT",5.8068227776998e-06,4.97623591233509e-06,52229.533067259,6.9912287550886,0.00819111651841181,1,-14787484.2186005,29574974.437201,29575010.4405885,3284314256765531,1203961,1203963
"TDEBT_RE",3.47639234520487e-05,3.3933360638172e-05,37843.2817913721,41.8558631172735,9.82931415574038e-11,1,-14399573.8005266,28799153.6010532,28799189.6044407,1724209375551307,1203961,1203963
"TDEBT_BUS",2.09765074294977e-06,1.267060796728e-06,91730.4095187832,2.52549498373898,0.112019887311904,1,-15465563.2130664,30931132.4261328,30931168.4295204,10130691344449148,1203961,1203963
"TDEBT_CC",0.00206980206513995,0.00206897319261179,5821.14187898912,2497.12952800194,0,1,-12145806.8025647,24291619.6051293,24291655.6085168,40797052559468.2,1203961,1203963
"TDEBT_ED",0.000299218146075214,0.000298387802914801,22191.7969853833,360.354803062962,2.42158489854024e-80,1,-13756981.72184,27513969.4436801,27514005.4470676,592921720984037,1203961,1203963
"TDEBT_OT",5.72940448511335e-05,5.64635007505032e-05,17278.6168231832,68.9837478909612,9.93791697759862e-17,1,-13455686.3689434,26911378.7378868,26911414.7412743,359443278110785,1203961,1203963
"TMED_AMT",4.83503351925385e-05,4.75197836634633e-05,23408.3690575627,58.2147326105787,2.35183563413098e-14,1,-13821238.3047241,27642482.6094481,27642518.6128357,659712527171873,1203961,1203963
