"Debt_var","term","estimate","std.error","statistic","p.value"
"TDEBT_HOME_log","(Intercept)",4.03984740990907,0.00532994835970276,757.952448555123,0
"TDEBT_HOME_log","EJB1_UNION",1.3342909144256,0.0151659530223729,87.9793648613604,0
"TDEBT_VEH_log","(Intercept)",2.72173230238964,0.00413888858362427,657.599799414346,0
"TDEBT_VEH_log","EJB1_UNION",0.59506937074623,0.011776885175597,50.5285873024624,0
"TDEBT_RENT_log","(Intercept)",0.291974783822157,0.00178009008541304,164.022476286311,0
"TDEBT_RENT_log","EJB1_UNION",0.0609717708749729,0.00506510772507211,12.0376059472861,2.26400730291509e-33
"TDEBT_RE_log","(Intercept)",0.209135328986788,0.00149644791150885,139.754499557502,0
"TDEBT_RE_log","EJB1_UNION",0.0645513429906166,0.0042580260060225,15.1599222032266,6.58710759473545e-52
"TDEBT_BUS_log","(Intercept)",0.051605367521058,0.000731204130990299,70.5758697658981,0
"TDEBT_BUS_log","EJB1_UNION",0.0131921095770057,0.00208058441695339,6.34057886308834,2.28984081734962e-10
"TDEBT_CC_log","(Intercept)",2.67565962647711,0.003748864135557,713.725419147409,0
"TDEBT_CC_log","EJB1_UNION",0.70758346219803,0.010667100979246,66.3332487031584,0
"TDEBT_ED_log","(Intercept)",1.48356509314047,0.00346265904974996,428.44677221328,0
"TDEBT_ED_log","EJB1_UNION",0.158912149575338,0.00985272669394696,16.1287483669841,1.62519608050849e-58
"TDEBT_OT_log","(Intercept)",0.475102035503942,0.00198939167958928,238.817745333101,0
"TDEBT_OT_log","EJB1_UNION",0.121697791970381,0.00566065911329637,21.498873105523,1.66779679485343e-102
"TMED_AMT_log","(Intercept)",0.821743560641495,0.00232878237346558,352.864041743247,0
"TMED_AMT_log","EJB1_UNION",-0.134056628690878,0.0066263689048722,-20.2307825923048,5.43294774739718e-91
