"Debt_var","term","estimate","std.error","statistic","p.value"
"TDEBT_HOME","(Intercept)",45058.997011073,197.909489729815,227.674767251369,0
"TDEBT_HOME","EJB1_UNION",13339.580931393,569.610444554807,23.418778673939,3.70245720268866e-121
"TDEBT_VEH","(Intercept)",4243.3320890675,22.0019101231089,192.861986315028,0
"TDEBT_VEH","EJB1_UNION",1437.25443746656,63.3244915308925,22.6966597397059,6.2816907048781e-114
"TDEBT_RENT","(Intercept)",4480.37737557013,99.8527899593526,44.869826645745,0
"TDEBT_RENT","EJB1_UNION",457.451464428884,287.389918272403,1.59174499641038,0.111443258964721
"TDEBT_RE","(Intercept)",2996.33509143804,92.867935816568,32.2644739014807,6.40551812916255e-228
"TDEBT_RE","EJB1_UNION",723.886855162663,267.286557494435,2.70828006446877,0.00676374542734487
"TDEBT_BUS","(Intercept)",1070.06668399405,185.265816566584,5.77584523591521,7.66566844150206e-09
"TDEBT_BUS","EJB1_UNION",-85.1837281894138,533.220232538466,-0.159753368291907,0.873075486033488
"TDEBT_CC","(Intercept)",1997.65800311006,12.7601658923831,156.554234479233,0
"TDEBT_CC","EJB1_UNION",698.236409059145,36.725493944106,19.0123081835691,1.53502325730288e-80
"TDEBT_ED","(Intercept)",5237.9410235836,48.1822044729897,108.71111193179,0
"TDEBT_ED","EJB1_UNION",2191.65646972832,138.674941494509,15.8042718180278,3.09296811958501e-56
"TDEBT_OT","(Intercept)",1221.98177516334,45.2286849876944,27.017848860647,1.54217988102363e-160
"TDEBT_OT","EJB1_UNION",1070.25332503506,130.174310477183,8.22169382815864,2.01580543692645e-16
"TMED_AMT","(Intercept)",1133.20136495828,35.6257941063698,31.8084520888101,1.3548557362714e-221
"TMED_AMT","EJB1_UNION",-55.6228023884308,102.535883682237,-0.542471575714976,0.587494159834523
