"TEHC_ST","term","estimate","std.error","statistic","p.value","state"
1,"(Intercept)",0.00374120793206875,0.000495325608855786,7.55302747360675,5.03521732694915e-14,"AL"
1,"EJB1_UNION",-0.00345171735002443,0.00128604924141405,-2.68396981924981,0.00729960393823517,"AL"
2,"(Intercept)",0.000741351211429659,0.000228314468743822,3.24706189453759,0.001252013212238,"AK"
2,"EJB1_UNION",-0.000582924076029909,0.0006307983494496,-0.924105265238149,0.35592025134551,"AK"
4,"(Intercept)",0.00115955296881243,0.000325889524297324,3.55811673085422,0.000377192643377977,"AZ"
4,"EJB1_UNION",-0.00115955296881238,0.0014967432132127,-0.774717372075766,0.438545465324119,"AZ"
5,"(Intercept)",0.000334257369260801,9.367248848709e-05,3.56836222309679,0.000366650624026419,"AR"
5,"EJB1_UNION",-0.000334257369260805,0.000406350583695718,-0.822583706465406,0.410830975334137,"AR"
6,"(Intercept)",0.00213317935664757,0.000163846497155513,13.0193772444392,1.18502232190091e-38,"CA"
6,"EJB1_UNION",-0.000722535032470516,0.000379552601267773,-1.90364927037022,0.0569646549478284,"CA"
8,"(Intercept)",0.00865450435508587,0.000865246690166196,10.0023547659264,2.21019157517664e-23,"CO"
8,"EJB1_UNION",-0.0086097529310043,0.00307127299223969,-2.80331737125255,0.00507324609610061,"CO"
9,"(Intercept)",0.00327786748487164,0.00058394228561372,5.61334153327604,2.18793505457466e-08,"CT"
9,"EJB1_UNION",0.0121679267742586,0.0014107925401449,8.62488737926613,1.07898507512681e-17,"CT"
10,"(Intercept)",0,0,NA,NA,"DE"
10,"EJB1_UNION",0,0,NA,NA,"DE"
11,"(Intercept)",0.0039735186338535,0.00060778729781924,6.53767962593263,1.21330540348919e-10,"DC"
11,"EJB1_UNION",-0.00397351863385353,0.0022643645783175,-1.75480515456835,0.0797351688026463,"DC"
12,"(Intercept)",0.00268835526154258,0.000245744387532205,10.9396405286785,1.00860404549355e-27,"FL"
12,"EJB1_UNION",-0.000159569991612963,0.000900962116237333,-0.17711065619426,0.859424477452377,"FL"
13,"(Intercept)",0.000937053818511192,7.97474929059279e-05,11.7502605331626,1.30623035393628e-31,"GA"
13,"EJB1_UNION",-0.00093705381851125,0.000310511631605599,-3.01777364559876,0.00255468562799889,"GA"
15,"(Intercept)",0,0,NA,NA,"HI"
15,"EJB1_UNION",0,0,NA,NA,"HI"
16,"(Intercept)",0.00253583082670638,0.000338780677812185,7.48516958842677,1.0140951073159e-13,"ID"
16,"EJB1_UNION",-0.00253583082670642,0.00127262144815243,-1.99260418751224,0.0464236325769226,"ID"
17,"(Intercept)",0.00279605267867839,0.000565701412378281,4.94262983527551,7.87976991463846e-07,"IL"
17,"EJB1_UNION",0.0054847937785573,0.00135044527944947,4.06147058457138,4.92762068054461e-05,"IL"
18,"(Intercept)",0.00526065597589017,0.000675046563547372,7.79302682209862,7.6317075605085e-15,"IN"
18,"EJB1_UNION",-0.0025963694052263,0.00227279199448606,-1.14237000637333,0.253344783020238,"IN"
19,"(Intercept)",0.00275799563195811,0.000454268813609417,6.07128543569679,1.4719430813968e-09,"IA"
19,"EJB1_UNION",0.00114390933901594,0.00148685482347497,0.769348372790342,0.441762648242055,"IA"
20,"(Intercept)",0.00531528322277688,0.00123172887680954,4.31530292327372,1.65584228113141e-05,"KS"
